"Sa,g",a,R,C0,C1,Te,Cm,Base Shear Coefficient,"Roof,DR,%"
0.9,60.0,1.3,1.0,1.05,0.33,100.0,0.68,1.9
1.3,60.0,2.1,1.37,1.17,0.32,74.6,0.42,2.3
0.7,60.0,2.4,1.31,1.02,0.45,81.6,0.24,2.8
1.1,60.0,3.1,1.0,1.05,0.41,100.0,0.35,2.4
0.9,60.0,1.2,1.49,1.05,0.24,83.3,0.58,2.1
1.5,60.0,6.0,1.0,1.04,1.47,100.0,0.26,10.0
1.4,60.0,2.7,1.37,1.03,0.97,77.4,0.4,1.0
0.3,60.0,0.6,1.37,0.99,0.97,80.0,0.39,0.4
0.5,60.0,1.3,1.27,1.03,0.38,84.5,0.3,1.2
1.4,60.0,2.7,1.27,1.04,0.35,90.1,0.43,3.1
0.2,60.0,0.6,1.31,0.98,0.5,76.0,0.26,0.8
1.6,90.0,2.3,1.0,1.14,0.33,100.0,0.68,2.4
0.8,60.0,1.0,1.3,1.0,0.27,82.3,0.66,0.8
1.5,60.0,0.9,1.41,0.97,0.23,70.1,1.16,1.2
1.1,60.0,0.7,1.41,1.0,0.23,70.1,1.15,0.7
0.4,90.0,1.0,1.0,1.0,0.36,100.0,0.41,0.8
0.8,90.0,1.9,1.0,1.08,0.36,100.0,0.41,1.6
0.9,60.0,1.2,1.49,1.01,0.24,86.0,0.58,1.6
1.0,90.0,2.4,1.0,1.12,0.36,100.0,0.41,2.3
0.1,60.0,0.3,1.31,0.96,0.5,77.2,0.26,0.4
0.1,60.0,0.3,1.31,0.99,0.5,79.3,0.26,0.4
0.4,60.0,1.2,1.31,1.02,0.45,81.6,0.24,1.0
0.9,60.0,0.5,1.41,0.99,0.23,70.8,1.16,0.6
0.9,90.0,1.3,1.0,1.01,0.24,100.0,0.69,0.5
2.5,60.0,1.9,1.0,1.4,0.19,100.0,1.37,2.2
0.2,60.0,0.5,1.31,0.99,1.26,79.3,0.39,0.6
0.4,60.0,0.8,1.27,0.98,0.35,83.0,0.43,1.1
2.0,60.0,1.4,1.0,1.05,0.19,100.0,1.37,1.5
2.2,60.0,2.4,1.44,1.38,0.25,79.2,0.58,1.0
1.3,60.0,2.5,1.37,1.03,0.97,77.2,0.4,1.6
0.6,60.0,1.8,1.27,1.01,0.38,90.1,0.3,1.5
1.2,90.0,1.7,1.0,1.08,0.33,100.0,0.68,2.2
0.7,60.0,2.6,1.31,1.12,0.47,86.0,0.24,2.5
0.6,60.0,1.2,1.43,1.0,0.55,79.3,0.36,1.1
0.5,60.0,1.9,1.26,1.01,0.49,90.7,0.25,1.8
0.4,60.0,1.0,1.36,1.0,0.4,81.3,0.29,0.9
1.4,90.0,1.7,1.0,1.02,0.29,100.0,0.8,2.2
0.4,60.0,1.1,1.36,1.0,0.4,82.4,0.29,0.9
1.5,60.0,1.5,1.0,1.01,0.32,100.0,1.03,3.3
2.4,60.0,3.5,1.0,1.18,0.24,100.0,0.7,3.4
2.6,60.0,3.3,1.0,1.46,0.29,100.0,0.8,5.0
0.6,60.0,2.1,1.31,1.09,0.45,82.6,0.24,2.1
1.5,60.0,2.1,1.49,1.31,0.24,67.0,0.6,3.1
0.3,60.0,1.0,1.31,1.0,0.5,76.0,0.26,1.1
0.7,60.0,2.4,1.31,1.12,0.45,82.6,0.24,2.8
