"Sa,g",a,R,C0,C1,Te,Cm,Base Shear Coefficient,Target
1.4,60,1.2,1.45,1.02,0.19,67.7,0.78,2.3
0.4,60,1.2,1.31,1,0.45,81.6,0.24,1
0.6,60,2.1,1.31,1.01,0.45,81.6,0.24,2.1
0.7,60,2.4,1.31,1.02,0.45,81.6,0.24,2.8
0.4,60,1.3,1.31,1,0.47,84.9,0.24,1.1
0.6,60,2.2,1.31,1.01,0.47,84.9,0.24,2
0.7,60,2.6,1.31,1.02,0.47,84.9,0.24,2.6
0.6,60,0.9,1.37,1,0.32,73.2,0.42,1.3
1,60,1.7,1.37,1.02,0.32,73.2,0.42,2.4
1.2,60,2,1.37,1.03,0.32,73.2,0.42,3.1
1.4,60,2.3,1.37,1.03,0.32,73.2,0.42,2.9
0.5,60,1.3,1.37,1.01,0.37,73.2,0.29,1.3
0.9,60,2.2,1.37,1.02,0.37,73.2,0.29,2.5
0.9,60,2.2,1.37,1.02,0.37,73.2,0.29,2.6
0.5,60,1.2,1.37,1,0.37,73.2,0.29,0.8
0.6,60,1,1.37,1,0.33,73.2,0.42,1
1.3,60,2.1,1.37,1.03,0.33,73.2,0.42,2.1
1.4,60,2.3,1.37,1.03,0.33,73.2,0.42,2.8
0.3,60,0.9,1.31,1,0.5,79.3,0.26,1.3
0.6,60,1.8,1.31,1.01,0.5,79.3,0.26,2.3
0.9,60,2.5,1.31,1.02,0.5,79.3,0.26,4.4
0.1,60,0.3,1.31,0.99,0.5,79.3,0.26,0.4
0.2,60,0.6,1.31,1,0.5,79.3,0.26,0.8
0.3,60,1,1.31,1,0.5,79.3,0.26,1.1
0.3,60,1,1.31,1,0.5,79.3,0.26,1.1
0.5,60,1.5,1.31,1.01,0.5,79.3,0.26,1.7
0.7,60,2,1.31,1.01,0.5,79.3,0.26,2.6
0.8,60,2.4,1.31,1.01,0.5,79.3,0.26,4.3
0.4,60,1,1.36,1,0.4,81.3,0.29,1.1
0.4,60,1.1,1.32,1,0.41,81.6,0.29,1
0.3,60,1.1,1.26,1,0.49,90.7,0.25,1.1
0.5,60,1.9,1.26,1.01,0.49,90.7,0.25,1.8
0.8,60,2.8,1.26,1.02,0.49,90.7,0.25,3.6
0.3,60,0.9,1.31,1,0.44,80.6,0.29,1
0.6,60,1.6,1.31,1.01,0.44,80.6,0.29,1.7
1,60,2.6,1.31,1.02,0.44,80.6,0.29,3
1.1,60,0.7,1.41,1,0.23,70.1,1.15,0.7
1,60,0.6,1.41,1,0.23,70.1,1.16,0.6
1.5,60,0.9,1.41,1,0.23,70.1,1.16,1.1
1.5,60,0.9,1.41,1,0.23,70.1,1.16,1.2
0.8,60,0.9,1.44,1,0.25,83.3,0.58,0.1
1.2,60,1.4,1.44,1.02,0.25,83.3,0.58,0.9
1.6,60,1.8,1.44,1.03,0.25,83.3,0.58,0.3
2.2,60,2.4,1.44,1.06,0.25,83.3,0.58,1
0.2,60,0.3,1.49,0.97,0.24,83.3,0.58,1.4
0.9,60,1.2,1.49,1.01,0.24,83.3,0.58,1.6
0.2,60,0.2,1.49,0.96,0.24,67,0.6,1.1
0.8,60,1.1,1.49,1,0.24,67,0.6,1.7
1.1,60,1.5,1.49,1.02,0.24,67,0.6,2.1
1.5,60,2.1,1.49,1.05,0.24,67,0.6,2.7
0.5,60,1.3,1.27,1.01,0.38,88.2,0.3,1.2
0.4,60,1.2,1.27,1,0.38,88.2,0.3,1
0.6,60,1.7,1.27,1.01,0.38,88.2,0.3,1.5
0.4,60,0.8,1.27,1,0.35,88.2,0.43,1.1
0.4,60,0.8,1.27,1,0.35,88.2,0.43,1.3
0.4,60,0.7,1.27,0.99,0.35,88.2,0.43,1
0.7,60,1.3,1.27,1.01,0.35,88.2,0.43,1.8
1,60,2,1.27,1.02,0.35,88.2,0.43,2.4
1.3,60,2.6,1.27,1.04,0.35,88.2,0.43,3.1
0.1,60,0.2,1.43,0.99,0.55,77.9,0.36,0.1
0.2,60,0.4,1.43,0.99,0.55,77.9,0.36,0.3
0.6,60,1.2,1.43,1,0.55,77.9,0.36,1.1
0.6,60,1.3,1.43,1,0.55,77.9,0.36,0.9
0.8,60,1.3,1.44,1.01,0.4,77.3,0.47,1.1
1.8,60,1.3,1,1.03,0.19,100,1.37,1.2
2.5,60,1.9,1,1.1,0.19,100,1.37,2.2
2.7,60,2,1,1.11,0.19,100,1.37,2.4
1.4,60,3.5,1,1.08,0.36,100,0.41,1.9
2.2,60,5.4,1,1.14,0.36,100,0.41,3.7
1.7,60,2.5,1,1.11,0.24,100,0.7,1.3
2.4,60,3.5,1,1.18,0.24,100,0.7,3.4
1.1,60,3.1,1,1.05,0.41,100,0.35,2.4
1.7,60,5,1,1.1,0.41,100,0.35,3.5
2.7,60,3.4,1,1.12,0.29,100,0.8,3
2.6,60,3.3,1,1.11,0.29,100,0.8,3.9
0.4,90,1,1,1,0.36,100,0.41,0.7
0.8,90,1.9,1,1.02,0.36,100,0.41,1.6
2.6,90,6.4,1,1.11,0.36,100,0.41,2.5
1.2,90,1.7,1,1.02,0.33,100,0.68,2.1
1.6,90,2.3,1,1.03,0.33,100,0.68,2.4
0.7,90,1.9,1,1.02,0.41,100,0.35,1
1,90,3,1,1.03,0.41,100,0.35,2.9
0.9,90,2.1,1,1.02,0.36,100,0.41,0.9
1.5,90,3.7,1,1.06,0.36,100,0.41,3.6
1.2,60,1.8,1,1.03,0.33,100,0.68,1.9
2,60,2.9,1,1.08,0.33,100,0.68,2.6
2,60,3,1,1.08,0.33,100,0.68,2.6
1.3,90,1.9,1,1.04,0.24,100,0.7,1.5
2.2,90,3.2,1,1.1,0.24,100,0.7,2.4
2.3,90,3.2,1,1.11,0.24,100,0.7,3.6
1.1,90,0.8,1,0.99,0.19,100,1.36,1
1.8,90,1.3,1,1.03,0.19,100,1.36,1.4
2.3,90,1.7,1,1.06,0.19,100,1.36,1.8
1.2,90,0.9,1,0.99,0.19,100,1.36,0.9
1.9,90,1.4,1,1.03,0.19,100,1.36,1.4
